STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31060,550,210,240,90,420,1190,420,0,0,0,0,0,110,170,21139,550,21320,14010,430,180,109,90,30,51,100,1228,320,1383,380,1582,100,672
GA,31061,14920,6260,4240,4090,8240,28810,10460,40,0,40,0,270,4090,3770,669083,14920,677412,437299,11900,3260,3314,180,400,1124,2600,36726,8610,63052,10000,68304,3730,19581
GA,31063,2110,820,490,780,1240,4560,2050,0,0,0,0,30,660,420,74460,2110,75569,51681,1780,270,289,130,90,203,200,2415,940,5438,1120,6106,380,2156
GA,31064,3820,1480,1470,780,2020,8020,2880,0,0,0,0,20,910,960,183411,3820,185211,135458,3080,860,929,140,140,288,550,6970,2320,17697,2670,19173,1050,4653
GA,31065,500,200,160,140,330,1020,390,0,0,0,0,0,170,110,19830,500,19932,14846,410,90,88,30,0,0,60,546,280,1321,310,1446,110,658
GA,31066,470,200,190,90,250,900,280,0,0,0,0,0,130,140,23627,470,23771,16911,390,100,36,30,20,57,90,1034,330,1999,360,2119,130,617
GA,31068,1240,490,280,480,780,2520,1030,0,0,0,0,0,370,280,40127,1240,40456,31433,1080,150,138,50,50,123,120,1474,570,2522,720,2842,220,1150
GA,31069,8790,3540,3210,1860,4180,17870,6470,280,0,280,0,150,2050,2100,461975,8790,468490,321135,7290,2280,2383,140,230,547,1280,16250,5530,45827,6160,49064,2620,16811
GA,31070,280,100,120,60,190,580,190,0,0,0,0,0,60,90,12609,280,12704,9021,220,70,37,40,0,0,40,540,170,1062,200,1223,60,258
GA,31071,450,160,160,120,340,920,330,0,0,0,0,0,120,120,17520,450,17775,12767,350,90,43,60,0,0,60,663,250,1236,300,1491,100,605
