"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"107","GA",30182,1040,870,47019,50,3707,4052,829
"108","GA",30183,2450,1330,175021,40,21340,22704,5044
"109","GA",30184,2940,1910,202337,30,26424,28008,4654
"110","GA",30185,1670,1160,84837,30,7809,8424,1883
"111","GA",30187,3920,2720,242318,40,26185,27711,7840
"112","GA",30188,28110,18990,2030188,50,250157,265813,57614
"113","GA",30189,17850,12300,1323612,30,169277,179524,36062
"114","GA",30204,4950,3700,202335,120,16677,18403,5558
"115","GA",30205,1460,920,144668,40,20697,21815,6496
"116","GA",30206,1250,980,63564,40,5169,5608,1751
"117","GA",30213,15680,12900,663028,30,49994,54360,28708
"118","GA",30214,14440,9380,921353,40,106279,112787,46858
"119","GA",30215,16080,11740,1459214,100,213770,223698,66531
"120","GA",30216,800,660,28418,0,1848,2056,929
"121","GA",30217,3380,2620,143644,120,12028,13140,3103
"122","GA",30218,860,600,39347,40,3088,3390,959
"123","GA",30220,2250,1890,99898,30,9409,9990,2891
"124","GA",30222,1760,1400,68496,60,5163,5723,1934
"125","GA",30223,14670,11790,561259,80,45429,49810,16809
"126","GA",30224,10590,7600,545572,90,56003,60490,18560
"127","GA",30228,18760,16040,829831,40,66750,72334,30906
"128","GA",30230,3500,2930,145561,40,11012,12238,3756
"129","GA",30233,9100,6780,464674,110,41416,44455,13911
"130","GA",30234,890,740,37573,0,2750,3010,1177
"131","GA",30236,21180,17370,919186,30,93068,101251,32860
"132","GA",30238,17440,16100,555619,0,32629,37524,20567
"133","GA",30240,12690,10420,685152,110,77420,82494,22492
"134","GA",30241,10790,9190,435412,100,35451,38606,13597
"135","GA",30248,10960,9250,610977,50,56447,60656,20124
"136","GA",30251,1010,740,39555,0,2915,3161,943
"137","GA",30252,18750,15150,1208684,110,125311,132843,40755
"138","GA",30253,25010,20020,1359137,40,150135,160062,53328
"139","GA",30256,1090,830,55726,40,5139,5533,1109
"140","GA",30257,1720,1240,82265,40,6553,7081,2275
"141","GA",30258,980,780,45432,40,3646,4079,980
"142","GA",30259,1480,950,92866,30,10467,11020,2410
"143","GA",30260,11350,9790,342567,0,20584,25103,8691
"144","GA",30263,24360,20040,1357116,150,145390,154838,43157
"145","GA",30265,15310,11210,1149448,40,139253,145848,42097
"146","GA",30268,4560,3870,247298,40,26489,29063,8623
"147","GA",30269,17180,12760,1758078,50,271978,283411,59760
"148","GA",30273,7920,6720,277934,0,17264,19491,11290
"149","GA",30274,15340,13830,423379,0,22022,26306,13566
"150","GA",30276,6870,5570,460419,50,50335,52895,12699
"151","GA",30277,9620,7150,716503,60,83804,87968,21340
"152","GA",30281,30760,23090,1416212,50,122406,132072,50375
"153","GA",30285,300,230,15547,0,1388,1514,382
"154","GA",30286,9120,6830,379888,110,32189,35285,9345
"155","GA",30288,3780,3330,125548,0,7838,8886,5114
"156","GA",30290,4060,2800,425664,0,63746,66570,19649
"157","GA",30291,10210,9050,314457,0,17727,20218,12171
"158","GA",30292,2460,1910,137386,60,12583,13548,4656
"159","GA",30293,1130,850,44770,40,3099,3412,1090
"160","GA",30294,19240,15380,784194,0,57864,63302,37023
"161","GA",30295,1860,1320,100027,70,9511,10175,2809
"162","GA",30296,12820,10580,427965,0,26886,30181,18139
"163","GA",30297,11080,13040,279715,0,12205,16226,5450
"164","GA",30303,1330,440,104632,0,19922,21181,2264
"165","GA",30305,13610,5080,3739873,40,815564,863143,244482
"166","GA",30306,12210,4770,2031236,30,407528,433243,70753
"167","GA",30307,10040,4280,1418640,20,283803,302151,37082
"168","GA",30308,10680,2040,856170,0,142188,148646,16968
"169","GA",30309,14790,3080,2281314,30,465242,491101,72475
"170","GA",30310,11560,8780,301514,0,18738,22463,7434
"171","GA",30311,14000,11290,441900,0,34198,38440,18807
"172","GA",30312,11080,4500,672611,0,90781,96886,11789
"173","GA",30313,2070,880,124960,0,14487,15538,2472
"174","GA",30314,6730,5200,155389,0,8799,10639,3480
"175","GA",30315,12950,11810,386805,0,29789,34493,7720
"176","GA",30316,15960,7700,886428,0,107270,114814,17791
"177","GA",30317,6490,3270,450682,0,59577,63652,7550
"178","GA",30318,22390,13600,1489818,20,221194,236001,39721
"179","GA",30319,20830,10290,3401206,50,663143,700147,158172
"180","GA",30324,15480,5780,1441794,0,245489,257862,35154
"181","GA",30326,3690,670,695415,0,149155,156830,33187
"182","GA",30327,10920,7040,4953938,60,1215202,1285562,372942
"183","GA",30328,17450,8720,2397291,30,454620,481320,88620
"184","GA",30329,13800,12850,942796,0,129994,137640,33385
"185","GA",30331,25540,19520,1086987,0,103283,111477,49208
